CONTRATOS,CLIENTE,ORGANIZACAO,NUMERO_CONTRATO,NUMERO_MAIS_CONTRATO,CONTRACT_ID
"PREFEITURA MUNICIPAL DE CAMOCIM - PESCA, AGRICULTURA, RECURSOS HÍDRICOS E MEIO AMBIENTE","PREFEITURA MUNICIPAL DE CAMOCIM - PESCA, AGRICULTURA, RECURSOS HÍDRICOS E MEIO AMBIENTE",ALUCOM,2022.04.05.002-11,"PREFEITURA MUNICIPAL DE CAMOCIM - PESCA, AGRICULTURA, RECURSOS HÍDRICOS E MEIO AMBIENTE - 2022.04.05.002-11",109
PREFEITURA MUNICIPAL DE CAMOCIM - PROCURADORIA GERAL DO MUNICÍPIO,PREFEITURA MUNICIPAL DE CAMOCIM - PROCURADORIA GERAL DO MUNICÍPIO,ALUCOM,2022.04.05.002-09,PREFEITURA MUNICIPAL DE CAMOCIM - PROCURADORIA GERAL DO MUNICÍPIO - 2022.04.05.002-09,110
PREFEITURA MUNICIPAL DE CAMOCIM - SAÚDE,PREFEITURA MUNICIPAL DE CAMOCIM - SAÚDE,ALUCOM,2022.04.05.002-02,PREFEITURA MUNICIPAL DE CAMOCIM - SAÚDE - 2022.04.05.002-02,111
"PREFEITURA MUNICIPAL DE CAMOCIM - SEGURANÇA, TRÂNSITO E DEFESA CIVIL","PREFEITURA MUNICIPAL DE CAMOCIM - SEGURANÇA, TRÂNSITO E DEFESA CIVIL",ALUCOM,2022.04.05.002-04,"PREFEITURA MUNICIPAL DE CAMOCIM - SEGURANÇA, TRÂNSITO E DEFESA CIVIL - 2022.04.05.002-04",112
PREFEITURA  MUNICIPAL DE CAUCAIA - CONTROLADORIA,PREFEITURA  MUNICIPAL DE CAUCAIA - CONTROLADORIA,ALUCOM,2021.08.02.01-12,PREFEITURA  MUNICIPAL DE CAUCAIA - CONTROLADORIA - 2021.08.02.01-12,113
PREFEITURA  MUNICIPAL DE CAUCAIA - DESENVOLVMENTO RURAL,PREFEITURA  MUNICIPAL DE CAUCAIA - DESENVOLVMENTO RURAL,ALUCOM,2021.08.02.01-08,PREFEITURA  MUNICIPAL DE CAUCAIA - DESENVOLVMENTO RURAL - 2021.08.02.01-08,114
PREFEITURA MUNICIPAL DE CAMOCIM - TURISMO E DESENVOLVIMENTO ECONÔMICO,PREFEITURA MUNICIPAL DE CAMOCIM - TURISMO E DESENVOLVIMENTO ECONÔMICO,ALUCOM,2022.04.05.002-13,PREFEITURA MUNICIPAL DE CAMOCIM - TURISMO E DESENVOLVIMENTO ECONÔMICO - 2022.04.05.002-13,115
PREFEITURA  MUNICIPAL DE CAUCAIA - DESENVOLVMENTO SOCIAL,PREFEITURA  MUNICIPAL DE CAUCAIA - DESENVOLVMENTO SOCIAL,ALUCOM,2021.08.02.01-02,PREFEITURA  MUNICIPAL DE CAUCAIA - DESENVOLVMENTO SOCIAL - 2021.08.02.01-02,116
PREFEITURA MUNICIPAL DE ARACATI - IQUAMA,PREFEITURA MUNICIPAL DE ARACATI - IQUAMA,ALUCOM,20220413001,PREFEITURA MUNICIPAL DE ARACATI - IQUAMA - 20220413001,117
PREFEITURA MUNICIPAL DE ARACATI - MEIO AMBIENTE,PREFEITURA MUNICIPAL DE ARACATI - MEIO AMBIENTE,ALUCOM,20220413006,PREFEITURA MUNICIPAL DE ARACATI - MEIO AMBIENTE - 20220413006,118
PREFEITURA MUNICIPAL DE ARACATI - PLANEJAMENTO E ADMINISTRAÇÃO,PREFEITURA MUNICIPAL DE ARACATI - PLANEJAMENTO E ADMINISTRAÇÃO,ALUCOM,20220413014,PREFEITURA MUNICIPAL DE ARACATI - PLANEJAMENTO E ADMINISTRAÇÃO - 20220413014,119
PREFEITURA MUNICIPAL DE ARACATI - PROCURADORIA,PREFEITURA MUNICIPAL DE ARACATI - PROCURADORIA,ALUCOM,20220413013,PREFEITURA MUNICIPAL DE ARACATI - PROCURADORIA - 20220413013,120
PREFEITURA MUNICIPAL DE CANINDE - SECRETARIA CHEFIA DE GABINETE,PREFEITURA MUNICIPAL DE CANINDE - SECRETARIA CHEFIA DE GABINETE,ALUCOM,20230929003,PREFEITURA MUNICIPAL DE CANINDE - SECRETARIA CHEFIA DE GABINETE - 20230929003,121
PREFEITURA MUNICIPAL DE CANINDE - CONTROLADORIA GERAL DO MUNICÍPIO,PREFEITURA MUNICIPAL DE CANINDE - CONTROLADORIA GERAL DO MUNICÍPIO,ALUCOM,20230929011,PREFEITURA MUNICIPAL DE CANINDE - CONTROLADORIA GERAL DO MUNICÍPIO - 20230929011,122
"PREFEITURA MUNICIPAL DE CANINDE - SECRETARIA DE DESENVOLVIMENTO ECONÔMICO E 
TURISMO",PREFEITURA MUNICIPAL DE CANINDE - SECRETARIA DE DESENVOLVIMENTO ECONÔMICO E TURISMO,ALUCOM,20230929010,"PREFEITURA MUNICIPAL DE CANINDE - SECRETARIA DE DESENVOLVIMENTO ECONÔMICO E 
TURISMO - 20230929010",123
"PREFEITURA MUNICIPAL DE CANINDE - SECRETARIA MUNICIPAL DE DESENVOLVIMENTO URBANO, INFRAESTRUTURA E SERVIÇOS PÚBLICOS","PREFEITURA MUNICIPAL DE CANINDE - SECRETARIA MUNICIPAL DE DESENVOLVIMENTO URBANO, INFRAESTRUTURA E SERVIÇOS PÚBLICOS",ALUCOM,20230929013,"PREFEITURA MUNICIPAL DE CANINDE - SECRETARIA MUNICIPAL DE DESENVOLVIMENTO URBANO, INFRAESTRUTURA E SERVIÇOS PÚBLICOS - 20230929013",124
"PREFEITURA MUNICIPAL DE CANINDE - FUNDAÇÃO DE ESPORTE, CULTURA E PATRIMÔNIO","PREFEITURA MUNICIPAL DE CANINDE - FUNDAÇÃO DE ESPORTE, CULTURA E PATRIMÔNIO",ALUCOM,20230929009,"PREFEITURA MUNICIPAL DE CANINDE - FUNDAÇÃO DE ESPORTE, CULTURA E PATRIMÔNIO - 20230929009",125
"PREFEITURA MUNICIPAL DE CANINDE - SECRETARIA DE PLANEJAMENTO, ADMINISTRAÇÃO E FINANÇAS","PREFEITURA MUNICIPAL DE CANINDE - SECRETARIA DE PLANEJAMENTO, ADMINISTRAÇÃO E 
FINANÇAS",ALUCOM,20230929002,"PREFEITURA MUNICIPAL DE CANINDE - SECRETARIA DE PLANEJAMENTO, ADMINISTRAÇÃO E FINANÇAS - 20230929002",126
PREFEITURA MUNICIPAL DE CANINDE - PROCURADORIA GERAL DO MUNICÍPIO,PREFEITURA MUNICIPAL DE CANINDE - PROCURADORIA GERAL DO MUNICÍPIO,ALUCOM,20230929004,PREFEITURA MUNICIPAL DE CANINDE - PROCURADORIA GERAL DO MUNICÍPIO - 20230929004,127
PREFEITURA MUNICIPAL DE CANINDE - SECRETARIA DE SAÚDE,PREFEITURA MUNICIPAL DE CANINDE - SECRETARIA DE SAÚDE,ALUCOM,20230929001,PREFEITURA MUNICIPAL DE CANINDE - SECRETARIA DE SAÚDE - 20230929001,128
PREFEITURA MUNICIPAL DE CANINDE - SECRETARIA DE SEGURANÇA PÚBLICA E TRÂNSITO,PREFEITURA MUNICIPAL DE CANINDE - SECRETARIA DE SEGURANÇA PÚBLICA E TRÂNSITO,ALUCOM,20230929008,PREFEITURA MUNICIPAL DE CANINDE - SECRETARIA DE SEGURANÇA PÚBLICA E TRÂNSITO - 20230929008,129
PREFEITURA MUNICIPAL DE ARACATI - SAÚDE,PREFEITURA MUNICIPAL DE ARACATI - SAÚDE,ALUCOM,20220413016,PREFEITURA MUNICIPAL DE ARACATI - SAÚDE - 20220413016,130
PREFEITURA MUNICIPAL DE ARACATI - SEINFRA,PREFEITURA MUNICIPAL DE ARACATI - SEINFRA,ALUCOM,20220413011,PREFEITURA MUNICIPAL DE ARACATI - SEINFRA - 20220413011,131
PREFEITURA MUNICIPAL DE ARACATI - TURISMO E CULTURA,PREFEITURA MUNICIPAL DE ARACATI - TURISMO E CULTURA,ALUCOM,20220413015,PREFEITURA MUNICIPAL DE ARACATI - TURISMO E CULTURA - 20220413015,132
PREF. MUNICIPAL DE ARACATI - DESENVOLVIMENTO SOCIAL - 020-2022,PREF. MUNICIPAL DE ARACATI - DESENVOLVIMENTO SOCIAL,ALUCOM,20220413020,PREF. MUNICIPAL DE ARACATI - DESENVOLVIMENTO SOCIAL - 020-2022 - 20220413020,133
ISG - CCC & HUC - 106951-21,ISGH,ALUCOM,106951-21,ISG - CCC & HUC - 106951-21 - 106951-21,134
PREFEITURA MUNICIPAL DE CAUCAIA -  SECRETARIA DE GESTÃO E GOVERNO,PREFEITURA MUNICIPAL DE CAUCAIA -  SECRETARIA DE GESTÃO E GOVERNO,ALUCOM,004/2022-SEGOV,PREFEITURA MUNICIPAL DE CAUCAIA -  SECRETARIA DE GESTÃO E GOVERNO - 004/2022-SEGOV,135
ISG - CCC - 106967-21,ISGH,ALUCOM,106967-21,ISG - CCC - 106967-21 - 106967-21,136
ISG - PRIMILAB,ISGH,ALUCOM,99627-21,ISG - PRIMILAB - 99627-21,137
ISG - HELV - 95592-20,ISGH,ALUCOM,95592-20,ISG - HELV - 95592-20 - 95592-20,138
ISG - HELV - 96210-20,ISGH,ALUCOM,96210-20,ISG - HELV - 96210-20 - 96210-20,139
PREFEITURA MUNICIPAL DE CAUCAIA -  SECRETARIA MUNICIPAL DE PLANEJAMENTO URBANO E AMBIENTAL,PREFEITURA MUNICIPAL DE CAUCAIA -  SECRETARIA MUNICIPAL DE PLANEJAMENTO URBANO E AMBIENTAL,ALUCOM,2021.08.02.01-10,PREFEITURA MUNICIPAL DE CAUCAIA -  SECRETARIA MUNICIPAL DE PLANEJAMENTO URBANO E AMBIENTAL - 2021.08.02.01-10,140
PREFEITURA MUNICIPAL DE CAUCAIA - SECRETARIA MUNICIPAL DE INFRAESTRUTURA,PREFEITURA MUNICIPAL DE CAUCAIA - SECRETARIA MUNICIPAL DE INFRAESTRUTURA,ALUCOM,2021.08.02.01-17,PREFEITURA MUNICIPAL DE CAUCAIA - SECRETARIA MUNICIPAL DE INFRAESTRUTURA - 2021.08.02.01-17,141
PREFEITURA MUNICIPAL DE CAUCAIA - PROCURADORIA-GERAL DO MUNICÍPIO,PREFEITURA MUNICIPAL DE CAUCAIA - PROCURADORIA-GERAL DO MUNICÍPIO,ALUCOM,2021.08.02.01-07,PREFEITURA MUNICIPAL DE CAUCAIA - PROCURADORIA-GERAL DO MUNICÍPIO - 2021.08.02.01-07,142
PREFEITURA MUNICIPAL DE CAUCAIA - SECRETARIA MUNICIPAL DE PATRIMÔNIO E TRANSPORTE,PREFEITURA MUNICIPAL DE CAUCAIA - SECRETARIA MUNICIPAL DE PATRIMÔNIO E TRANSPORTE,ALUCOM,2021.08.02.01,PREFEITURA MUNICIPAL DE CAUCAIA - SECRETARIA MUNICIPAL DE PATRIMÔNIO E TRANSPORTE - 2021.08.02.01,143
PREFEITURA MUNICIPAL DE CAUCAIA - INSTITUTO DE PREVIDÊNCIA DO MUNICÍPIO,PREFEITURA MUNICIPAL DE CAUCAIA - INSTITUTO DE PREVIDÊNCIA DO MUNICÍPIO,ALUCOM,2021.08.02.01-06,PREFEITURA MUNICIPAL DE CAUCAIA - INSTITUTO DE PREVIDÊNCIA DO MUNICÍPIO - 2021.08.02.01-06,144
PREFEITURA MUNICIPAL DE CAUCAIA - INSTITUTO DO MEIO AMBIENTE DO MUNICÍPIO,PREFEITURA MUNICIPAL DE CAUCAIA - INSTITUTO DO MEIO AMBIENTE DO MUNICÍPIO,ALUCOM,2021.08.02.01-05,PREFEITURA MUNICIPAL DE CAUCAIA - INSTITUTO DO MEIO AMBIENTE DO MUNICÍPIO - 2021.08.02.01-05,145
PREFEITURA MUNICIPAL DE CAUCAIA - GABINETE DO VICE PREFEITO,PREFEITURA MUNICIPAL DE CAUCAIA - GABINETE DO VICE PREFEITO,ALUCOM,2021.08.02.01-04,PREFEITURA MUNICIPAL DE CAUCAIA - GABINETE DO VICE PREFEITO - 2021.08.02.01-04,146
PREFEITURA MUNICIPAL DE CAUCAIA - GABINETE DO PREFEITO,PREFEITURA MUNICIPAL DE CAUCAIA - GABINETE DO PREFEITO,ALUCOM,2021.08.02.01-03,PREFEITURA MUNICIPAL DE CAUCAIA - GABINETE DO PREFEITO - 2021.08.02.01-03,147
"PREFEITURA MUNICIPAL DE CAUCAIA - SECRETARIA MUNICIPAL DE FINANÇAS, PLANEJAMENTO E ORÇAMENTO","PREFEITURA MUNICIPAL DE CAUCAIA - SECRETARIA MUNICIPAL DE FINANÇAS, PLANEJAMENTO E ORÇAMENTO",ALUCOM,2021.08.02.01-16,"PREFEITURA MUNICIPAL DE CAUCAIA - SECRETARIA MUNICIPAL DE FINANÇAS, PLANEJAMENTO E ORÇAMENTO - 2021.08.02.01-16",148
PREFEITURA MUNICIPAL DE CAUCAIA - SECRETARIA MUNICIPAL DE ESPORTE E JUVENTUDE 2021.08.02.01-15,PREFEITURA MUNICIPAL DE CAUCAIA - SECRETARIA MUNICIPAL DE ESPORTE E JUVENTUDE,ALUCOM,2021.08.02.01-15,PREFEITURA MUNICIPAL DE CAUCAIA - SECRETARIA MUNICIPAL DE ESPORTE E JUVENTUDE 2021.08.02.01-15 - 2021.08.02.01-15,149
PREFEITURA MUNICIPAL DE CAUCAIA - SECRETARIA MUNICIPAL DE ESPORTE E JUVENTUDE  2021.08.02.01-09,PREFEITURA MUNICIPAL DE CAUCAIA - SECRETARIA MUNICIPAL DE ESPORTE E JUVENTUDE,ALUCOM,2021.08.02.01-09,PREFEITURA MUNICIPAL DE CAUCAIA - SECRETARIA MUNICIPAL DE ESPORTE E JUVENTUDE  2021.08.02.01-09 - 2021.08.02.01-09,150
"PREFEITURA MUNICIPAL DE CAUCAIA - SECRETARIA MUNICIPAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA 2021.07.29.01-01","PREFEITURA MUNICIPAL DE CAUCAIA - SECRETARIA MUNICIPAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA",ALUCOM,2021.07.29.01-01,"PREFEITURA MUNICIPAL DE CAUCAIA - SECRETARIA MUNICIPAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA 2021.07.29.01-01 - 2021.07.29.01-01",151
"PREFEITURA MUNICIPAL DE CAUCAIA - SECRETARIA MUNICIPAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA 2021.08.02.01-20","PREFEITURA MUNICIPAL DE CAUCAIA - SECRETARIA MUNICIPAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA",ALUCOM,2021.08.02.01-20,"PREFEITURA MUNICIPAL DE CAUCAIA - SECRETARIA MUNICIPAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA 2021.08.02.01-20 - 2021.08.02.01-20",152
ISG - HELV - 102150-21,ISGH,ALUCOM,102150-21,ISG - HELV - 102150-21 - 102150-21,153
ISG - HGWA,ISGH,ALUCOM,180078-25,ISG - HGWA - 180078-25,154
TOP TRANSPORTES,TOP TRANSPORTES,ALUCOM,2022.03.01.01,TOP TRANSPORTES - 2022.03.01.01,155
ANA KALINCA,ANA KALINCA,ALUCOM,2023.04.01.01,ANA KALINCA - 2023.04.01.01,156
PREFEITURA MUNICIPAL DE CAUCAIA - SECRETARIA DE SEGURANÇA PÚBLICA DE CAUCAIA,PREFEITURA MUNICIPAL DE CAUCAIA - SECRETARIA DE SEGURANÇA PÚBLICA DE CAUCAIA,ALUCOM,2021.11.12.01,PREFEITURA MUNICIPAL DE CAUCAIA - SECRETARIA DE SEGURANÇA PÚBLICA DE CAUCAIA - 2021.11.12.01,157
ESCOLA PREPARATORIA DE CADETES DO EXERCITO,EsPCEx,IP SERVIÇOS,001-2023,ESCOLA PREPARATORIA DE CADETES DO EXERCITO - 001-2023,158
FUNASA,FUNASA,IP SERVIÇOS,002-2023,FUNASA - 002-2023,159
20º RCB,20º RCB,IP SERVIÇOS,003-2024,20º RCB - 003-2024,160
COREN DF,COREN DF,IP SERVIÇOS,006-2023,COREN DF - 006-2023,161
PRIMEIRO CENTRO INTEGRADO DE DEFESA AÉREA E CONTROLE DE TRÁFEGO AÉREO - CINDACT 1,CINDACTA I,IP SERVIÇOS,067/GAPDF-CINDACTA I/2023,PRIMEIRO CENTRO INTEGRADO DE DEFESA AÉREA E CONTROLE DE TRÁFEGO AÉREO - CINDACT 1 - 067/GAPDF-CINDACTA I/2023,162
CRN1 DF,CRN1,IP SERVIÇOS,06-2024,CRN1 DF - 06-2024,163
CENTRO DE LANÇAMENTO DE ALCÂNTARA - CLA,CLA,IP SERVIÇOS,005/CLA/2024,CENTRO DE LANÇAMENTO DE ALCÂNTARA - CLA - 005/CLA/2024,164
CISNORDESTE,CISNORDESTE SC,IP SERVIÇOS,18-2024,CISNORDESTE - 18-2024,165
CREF,CREF,IP SERVIÇOS,041-2024,CREF - 041-2024,166
"PREFEITURA MUNICIPAL DE TAUÁ - SECRETARIA DE DIREITOS HUMANOS, CIDADANIA E DIVERSIDADE","PREFEITURA MUNICIPAL DE TAUÁ - SECRETARIA DE DIREITOS HUMANOS, CIDADANIA E DIVERSIDADE",ALUCOM,12.12.015/2025-SDHCD,"PREFEITURA MUNICIPAL DE TAUÁ - SECRETARIA DE DIREITOS HUMANOS, CIDADANIA E DIVERSIDADE - 12.12.015/2025-SDHCD",167
SECRETARIA EXTRAORDINÁRIA DE REPRESENTAÇÃO DO GOVERNO DO ESTADO DO AMAPÁ EM BRASÍLIA – SEAB,SECRETARIA EXTRAORDINÁRIA DE REPRESENTAÇÃO DO GOVERNO DO ESTADO DO AMAPÁ EM BRASÍLIA – SEAB,IP SERVIÇOS,010/2024-SEAB,SECRETARIA EXTRAORDINÁRIA DE REPRESENTAÇÃO DO GOVERNO DO ESTADO DO AMAPÁ EM BRASÍLIA – SEAB - 010/2024-SEAB,168
SECRETARIA DO DESENVOLVIMENTO ECONÔMICO - SDE,SECRETARIA DO DESENVOLVIMENTO ECONÔMICO - SDE,IP SERVIÇOS,02 / 2025,SECRETARIA DO DESENVOLVIMENTO ECONÔMICO - SDE - 02 / 2025,169
SUPERINTENDÊNCIA ESTADUAL DO MINISTÉRIO DA SAÚDE NO CEARÁ - SEMS/CE,SUPERINTENDÊNCIA ESTADUAL DO MINISTÉRIO DA SAÚDE NO CEARÁ - SEMS/CE,IP SERVIÇOS,3/2024,SUPERINTENDÊNCIA ESTADUAL DO MINISTÉRIO DA SAÚDE NO CEARÁ - SEMS/CE - 3/2024,170
MARANHÃO PARCEIRIAS - MAPA,MARANHÃO PARCEIRIAS - MAPA,IP SERVIÇOS,15/2023/MAPA,MARANHÃO PARCEIRIAS - MAPA - 15/2023/MAPA,171
REPRESENTAÇÃO DO MUNICÍPIO DE PALMAS - SECRETARIA MUNICIPAL DO GABINETE DO PREFEITO EM BRASILIA,REPRESENTAÇÃO DO MUNICÍPIO DE PALMAS - SECRETARIA MUNICIPAL DO GABINETE DO PREFEITO EM BRASILIA,IP SERVIÇOS,041/2025,REPRESENTAÇÃO DO MUNICÍPIO DE PALMAS - SECRETARIA MUNICIPAL DO GABINETE DO PREFEITO EM BRASILIA - 041/2025,172
VICE-PREFEITURA DE SÃO LUIS - GAVIC,VICE-PREFEITURA DE SÃO LUIS - GAVIC,IP SERVIÇOS,052/2024/GAVIC,VICE-PREFEITURA DE SÃO LUIS - GAVIC - 052/2024/GAVIC,173
"SECRETARIA MUNICIPAL DE INOVAÇÃO, SUSTENTABILIDADE E PROJETOS ESPECIAIS – SEMISPE","SECRETARIA MUNICIPAL DE INOVAÇÃO, SUSTENTABILIDADE E PROJETOS ESPECIAIS – SEMISPE",IP SERVIÇOS,007/2024,"SECRETARIA MUNICIPAL DE INOVAÇÃO, SUSTENTABILIDADE E PROJETOS ESPECIAIS – SEMISPE - 007/2024",174
CÂMARA MUNICIPAL DE CASCAVEL,CÂMARA MUNICIPAL DE CASCAVEL,IP SERVIÇOS,1504/2025.1,CÂMARA MUNICIPAL DE CASCAVEL - 1504/2025.1,175
SECRETARIA MUNICIPAL DE SEGURANÇA COM CIDADANIA−048/2024/SEMUSC,SECRETARIA MUNICIPAL DE SEGURANÇA COM CIDADANIA−SEMUSC,IP SERVIÇOS,048/2024/SEMUSC,SECRETARIA MUNICIPAL DE SEGURANÇA COM CIDADANIA−048/2024/SEMUSC - 048/2024/SEMUSC,176
PREFEITURA MUNICIPAL DE TAUÁ - SECRETARIA DE SEGURANÇA CIDADÃ,PREFEITURA MUNICIPAL DE TAUÁ - SECRETARIA DE SEGURANÇA CIDADÃ,ALUCOM,12.01.001/2026-SSC,PREFEITURA MUNICIPAL DE TAUÁ - SECRETARIA DE SEGURANÇA CIDADÃ - 12.01.001/2026-SSC,177
GOVERNO MUNICIPAL DE CANINDÉ - SECRETARIA DO MEIO AMBIENTE,GOVERNO MUNICIPAL DE CANINDÉ - SECRETARIA DO MEIO AMBIENTE,IP SERVIÇOS,20250423001,GOVERNO MUNICIPAL DE CANINDÉ - SECRETARIA DO MEIO AMBIENTE - 20250423001,178
MUNICIPIO DE GRANJA - CÂMARA MUNICIPAL DE GRANJA,MUNICIPIO DE GRANJA - CÂMARA MUNICIPAL DE GRANJA,IP SERVIÇOS,2025.06.03.01,MUNICIPIO DE GRANJA - CÂMARA MUNICIPAL DE GRANJA - 2025.06.03.01,179
MUNICÍPIO DE CRATO - SECRETARIA DE EDUCAÇÃO,MUNICÍPIO DE CRATO - SECRETARIA DE EDUCAÇÃO,IP SERVIÇOS,2023.01.18.2,MUNICÍPIO DE CRATO - SECRETARIA DE EDUCAÇÃO - 2023.01.18.2,180
MUNICIPIO DE CANINDÉ - CÂMARA MUNICIPAL DE CANINDÉ,MUNICIPIO DE CANINDÉ - CÂMARA MUNICIPAL DE CANINDÉ,IP SERVIÇOS,20249002,MUNICIPIO DE CANINDÉ - CÂMARA MUNICIPAL DE CANINDÉ - 20249002,181
CELERE TECNOLOGIA E ASSESSORIA EM SAUDE PUBLICA E PRIVADA LTDA - UNIDADE EUSEBIO,CELERE TECNOLOGIA E ASSESSORIA EM SAUDE PUBLICA E PRIVADA LTDA - UNIDADE EUSEBIO,IP SERVIÇOS,013/2025,CELERE TECNOLOGIA E ASSESSORIA EM SAUDE PUBLICA E PRIVADA LTDA - UNIDADE EUSEBIO - 013/2025,182
CELERE TECNOLOGIA E ASSESSORIA EM SAUDE PUBLICA E PRIVADA LTDA - UNIDADE ITAPECERICA DA SERRA,CELERE TECNOLOGIA E ASSESSORIA EM SAUDE PUBLICA E PRIVADA LTDA - UNIDADE ITAPECERICA DA SERRA,IP SERVIÇOS,004/2025,CELERE TECNOLOGIA E ASSESSORIA EM SAUDE PUBLICA E PRIVADA LTDA - UNIDADE ITAPECERICA DA SERRA - 004/2025,183
CELERE TECNOLOGIA E ASSESSORIA EM SAUDE PUBLICA E PRIVADA LTDA - UNIDADE MAIRINQUE,CELERE TECNOLOGIA E ASSESSORIA EM SAUDE PUBLICA E PRIVADA LTDA - UNIDADE MAIRINQUE,IP SERVIÇOS,009/2025,CELERE TECNOLOGIA E ASSESSORIA EM SAUDE PUBLICA E PRIVADA LTDA - UNIDADE MAIRINQUE - 009/2025,184
CELERE TECNOLOGIA E ASSESSORIA EM SAUDE PUBLICA E PRIVADA LTDA - UNIDADE SERRA DO MEL,CELERE TECNOLOGIA E ASSESSORIA EM SAUDE PUBLICA E PRIVADA LTDA - UNIDADE SERRA DO MEL,IP SERVIÇOS,015/2025,CELERE TECNOLOGIA E ASSESSORIA EM SAUDE PUBLICA E PRIVADA LTDA - UNIDADE SERRA DO MEL - 015/2025,185
INOVA TABULEIRO SA,INOVA TABULEIRO SA,IP SERVIÇOS,0103-2025,INOVA TABULEIRO SA - 0103-2025,186
ASSOCIACAO DE APOIO AO PROTAGONISMO JUVENIL,ASSOCIACAO DE APOIO AO PROTAGONISMO JUVENIL,IP SERVIÇOS,012/2025,ASSOCIACAO DE APOIO AO PROTAGONISMO JUVENIL - 012/2025,187
CARTÓRIO DO 2º OFÍCIO DE TAUÁ,CARTÓRIO DO 2º OFÍCIO DE TAUÁ,IP SERVIÇOS,2023.1412.01-ip,CARTÓRIO DO 2º OFÍCIO DE TAUÁ - 2023.1412.01-ip,188
ASSOCIAÇÃO ECOS DE ESPERANÇA DO CARIRI,ASSOCIAÇÃO ECOS DE ESPERANÇA DO CARIRI,IP SERVIÇOS,002-2025,ASSOCIAÇÃO ECOS DE ESPERANÇA DO CARIRI - 002-2025,189
SANTANA & PAIVA SERVICOS ADMINISTRATIVOS LTDA,SANTANA & PAIVA SERVICOS ADMINISTRATIVOS LTDA,IP SERVIÇOS,010-2025,SANTANA & PAIVA SERVICOS ADMINISTRATIVOS LTDA - 010-2025,190
COMPANHIA DE INTELIGÊNCIA URBANA E SERVIÇOS S/A,COMPANHIA DE INTELIGÊNCIA URBANA E SERVIÇOS S/A,IP SERVIÇOS,20.230.717.001,COMPANHIA DE INTELIGÊNCIA URBANA E SERVIÇOS S/A - 20.230.717.001,191
ROZANA DUARTE DA SILVA-ME,ROZANA DUARTE DA SILVA-ME,IP SERVIÇOS,2023.01.03.01-IP,ROZANA DUARTE DA SILVA-ME - 2023.01.03.01-IP,192
